kernel,degree,C,gamma,class_weight,train_accuracy,train_recall,train_precision,train_f1,test_accuracy,test_recall,test_precision,test_f1
linear,X,0.01,0.01,"{0: 1, 1: 1}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
linear,X,0.01,0.01,"{0: 1, 1: 1}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
linear,X,0.01,0.01,"{0: 1, 1: 1}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
linear,X,0.01,0.1,"{0: 1, 1: 1}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
linear,X,0.01,0.1,"{0: 1, 1: 1}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
linear,X,0.01,0.1,"{0: 1, 1: 1}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
linear,X,0.01,1.0,"{0: 1, 1: 1}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
linear,X,0.01,1.0,"{0: 1, 1: 1}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
linear,X,0.01,1.0,"{0: 1, 1: 1}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
linear,X,0.01,0.01,"{0: 1, 1: 3}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
linear,X,0.01,0.01,"{0: 1, 1: 3}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
linear,X,0.01,0.01,"{0: 1, 1: 3}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
linear,X,0.01,0.1,"{0: 1, 1: 3}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
linear,X,0.01,0.1,"{0: 1, 1: 3}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
linear,X,0.01,0.1,"{0: 1, 1: 3}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
linear,X,0.01,1.0,"{0: 1, 1: 3}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
linear,X,0.01,1.0,"{0: 1, 1: 3}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
linear,X,0.01,1.0,"{0: 1, 1: 3}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
linear,X,0.01,0.01,"{0: 1, 1: 5}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
linear,X,0.01,0.01,"{0: 1, 1: 5}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
linear,X,0.01,0.01,"{0: 1, 1: 5}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
linear,X,0.01,0.1,"{0: 1, 1: 5}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
linear,X,0.01,0.1,"{0: 1, 1: 5}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
linear,X,0.01,0.1,"{0: 1, 1: 5}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
linear,X,0.01,1.0,"{0: 1, 1: 5}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
linear,X,0.01,1.0,"{0: 1, 1: 5}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
linear,X,0.01,1.0,"{0: 1, 1: 5}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
linear,X,0.1,0.01,"{0: 1, 1: 1}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
linear,X,0.1,0.01,"{0: 1, 1: 1}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
linear,X,0.1,0.01,"{0: 1, 1: 1}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
